,Churn Rate
90732,0.2
90740,0.4
90742,0.4
90743,0.0
90744,0.0
90745,0.4
90746,0.0
90802,0.4
90803,0.0
90804,0.4
90805,0.2
90806,0.0
90807,0.4
90808,0.4
90810,0.6
90813,0.2
90814,0.2
90815,0.0
90822,0.2
91001,0.2
91006,0.0
91007,0.2
91010,0.4
91011,0.2
91016,0.2
91020,0.2
91024,0.2
91030,0.6
91040,0.2
91042,0.6
91101,0.0
91103,0.4
91104,0.2
91105,0.4
91106,0.2
91107,0.6
91108,0.4
91201,0.0
91202,0.4
91203,0.4
91204,0.4
91205,0.2
91206,0.6
91207,0.4
91208,0.2
91214,0.0
91301,0.4
91302,0.0
91303,0.2
91304,0.4
91306,0.2
91307,0.0
91311,0.2
91316,0.2
91320,0.0
91321,0.2
91324,0.2
91325,0.2
91326,0.2
91331,0.4
91335,0.4
91340,0.2
91342,0.2
91343,0.2
91344,0.2
91345,0.4
91350,0.4
91351,0.4
91352,0.2
91354,0.2
91355,0.4
91356,0.4
91360,0.2
91361,0.2
91362,0.2
91364,0.0
91367,0.2
91377,0.0
91381,0.4
91384,0.4
91401,0.2
91402,0.8
91403,0.2
91405,0.0
91406,0.0
91411,0.6
91423,0.6
91436,0.0
91501,0.6
91502,0.4
91504,0.2
91505,0.0
91506,0.0
91601,0.8
91602,0.0
91604,0.0
91605,0.8
91606,0.2
91607,0.2
91701,0.0
91702,0.2
91706,0.0
91709,0.0
91710,0.4
91711,0.4
91722,0.4
91723,0.2
91724,0.0
91730,0.2
91731,0.6
91732,0.6
91733,0.2
91737,0.4
91739,0.2
91740,0.2
91741,0.2
91744,0.8
91745,0.2
91746,0.6
91748,0.6
91750,0.0
91752,0.2
91754,0.2
91755,0.0
91759,0.0
91761,0.2
91762,0.2
91763,0.2
91764,0.4
91765,0.0
91766,0.2
91767,0.4
91768,0.4
91770,0.6
91773,0.8
91775,0.4
91776,0.2
91780,0.0
91784,0.0
91786,0.0
91789,0.4
91790,0.2
91791,0.2
91792,0.2
91801,0.4
91803,0.4
91901,0.6
91902,0.4
91905,0.4
91906,0.6
91910,0.4
91911,0.0
91913,0.0
91914,0.2
91915,0.4
91916,0.0
91917,0.2
91931,0.6
91932,0.4
91934,0.6
91935,0.4
91941,0.0
91942,0.2
91945,0.0
91948,0.6
91950,0.0
91962,0.0
91963,0.0
91977,0.2
91978,0.2
91980,0.0
92003,0.4
92004,0.4
92007,0.2
92008,0.4
92009,0.4
92014,0.6
92019,0.2
92020,0.2
92021,0.2
92024,0.4
92025,0.0
92026,0.2
92027,0.2
92028,0.4
92029,0.4
92036,0.4
92037,0.2
92040,0.2
92054,0.0
92056,0.4
92057,0.6
92059,0.4
92060,0.6
92061,0.6
92064,0.2
92065,0.2
92066,0.2
92067,0.0
92069,0.2
92070,0.0
92071,0.4
92075,0.4
92078,0.4
92082,0.4
92083,0.2
92084,0.2
92086,0.0
92091,0.2
92101,0.2
92102,0.2
92103,0.6
92104,0.6
92105,0.6
92106,0.4
92107,0.0
92108,0.6
92109,0.4
92110,0.4
92111,0.4
92113,0.4
92114,0.2
92115,0.4
92116,0.2
92117,0.2
92118,0.4
92119,0.2
92120,0.2
92121,0.4
92122,0.4
92123,0.2
92124,0.2
92126,0.2
92127,0.2
92128,0.2
92129,0.8
92130,0.6
92131,0.0
92139,0.2
92154,0.4
92173,0.2
92201,0.6
92203,0.0
92210,0.8
92211,0.8
92220,0.2
92223,0.2
92225,0.2
92227,0.2
92230,0.2
92231,0.2
92233,0.2
92234,0.0
92236,0.2
92239,0.4
92240,0.2
92241,0.4
92242,0.0
92243,0.2
92249,0.4
92250,0.6
92251,0.4
92252,0.2
92253,0.2
92254,0.0
92256,0.0
92257,0.4
92258,0.6
92259,0.4
92260,0.0
92262,0.4
92264,0.2
92266,0.0
92267,0.2
92268,0.0
92270,0.4
92273,0.8
92274,0.4
92275,0.0
92276,0.2
92277,0.4
92278,0.2
92280,0.4
92281,0.4
92282,0.4
92283,0.2
92284,0.0
92285,0.2
92301,0.2
92304,0.2
92305,0.4
92307,0.8
92308,0.4
92309,0.25
92310,0.0
92311,0.25
92313,0.0
92314,0.5
92315,0.0
92316,0.5
92320,0.25
92321,0.25
92324,0.25
92325,0.5
92327,0.25
92328,0.0
92332,0.0
92333,0.25
92335,0.0
92336,0.25
92337,0.5
92338,0.75
92339,0.0
92341,0.5
92342,0.0
92345,0.0
92346,0.25
92347,0.25
92352,0.0
92354,0.0
92356,0.5
92358,0.25
92359,0.25
92363,0.0
92364,0.0
92365,0.5
92368,0.25
92371,0.5
92372,0.0
92373,0.5
92374,0.5
92376,0.0
92377,0.5
92382,0.75
92384,0.25
92386,0.25
92389,0.5
92392,0.25
92394,0.25
92397,1.0
92398,0.25
92399,0.25
92401,0.5
92404,0.25
92405,0.25
92407,0.0
92408,0.5
92410,0.25
92411,0.25
92501,0.0
92503,0.5
92504,0.0
92505,0.25
92506,0.5
92507,0.0
92508,0.25
92509,0.5
92518,0.5
92530,0.25
92532,0.25
92536,0.25
92539,0.5
92543,0.25
92544,0.25
92545,0.0
92548,0.5
92549,0.25
92551,0.25
92553,0.0
92555,0.5
92557,0.5
92561,0.0
92562,0.0
92563,0.5
92567,0.25
92570,0.25
92571,0.25
92582,0.25
92583,0.25
92584,0.0
92585,0.0
92586,0.5
92587,0.25
92590,0.5
92591,0.5
92592,0.5
92595,0.0
92596,0.0
92602,0.25
92604,0.0
92606,0.25
92610,0.5
92612,0.25
92614,0.0
92618,0.0
92620,0.5
92624,0.25
92625,0.75
92626,0.25
92627,0.5
92629,0.5
92630,0.5
92646,0.25
92647,0.25
92648,0.5
92649,0.0
92651,0.25
92653,0.0
92655,0.25
92656,0.0
92657,0.25
92660,0.25
92661,0.5
92662,0.25
92663,0.25
92672,0.0
92673,0.0
92675,0.0
92676,0.5
92677,0.0
92679,0.5
92683,0.0
92688,0.25
92691,0.0
92692,0.25
92694,0.25
92701,0.25
92703,0.0
92704,0.0
92705,0.5
92706,0.25
92707,0.5
92708,0.0
92780,0.25
92782,0.0
92801,0.0
92802,0.0
92804,0.25
92805,0.5
92806,0.25
92807,0.5
92808,0.25
92821,0.5
92823,0.5
92831,0.25
92832,0.0
92833,0.25
92835,0.0
92840,0.0
92841,0.25
92843,0.25
92844,0.25
92845,0.25
92860,0.25
92861,0.0
92865,0.25
92866,0.0
92867,0.0
92868,0.25
92869,0.25
92870,0.25
92879,0.0
92880,0.0
92881,0.0
92882,0.25
92883,0.25
92886,0.25
92887,0.5
93001,0.5
93003,0.5
93004,0.0
93010,0.75
93012,0.25
93013,0.25
93015,0.0
93021,0.5
93022,0.25
93023,0.25
93030,0.5
93033,0.0
93035,0.25
93040,0.75
93041,0.25
93060,0.5
93063,0.0
93065,0.25
93066,0.5
93067,0.75
93101,0.5
93103,0.25
93105,0.25
93108,0.5
93109,0.0
93110,1.0
93111,0.0
93117,0.0
93201,0.75
93202,0.5
93203,0.0
93204,0.75
93205,0.75
93206,0.5
93207,0.25
93208,0.5
93210,0.5
93212,0.25
93215,0.5
93218,0.25
93219,0.25
93221,0.75
93222,0.25
93223,0.25
93224,0.75
93225,0.0
93226,0.0
93230,0.0
93234,0.5
93235,0.25
93238,0.25
93239,0.0
93240,0.0
93241,0.0
93242,0.0
93243,0.25
93244,0.5
93245,0.25
93247,0.25
93249,0.0
93250,0.0
93251,0.5
93252,1.0
93254,0.25
93255,0.5
93256,0.0
93257,0.25
93260,0.25
93261,0.25
93262,0.25
93263,0.5
93265,0.0
93266,0.25
93267,0.25
93268,0.5
93270,0.25
93271,0.0
93272,1.0
93274,0.25
93276,0.0
93277,0.5
93280,0.25
93283,0.0
93285,0.25
93286,0.0
93287,0.5
93291,0.0
93292,0.5
93301,0.0
93304,0.0
93305,0.0
93306,0.25
93307,0.0
93308,0.0
93309,0.0
93311,0.25
93312,0.25
93313,0.0
93401,0.5
93402,0.25
93405,0.25
93420,0.0
93422,0.0
93424,0.0
93426,0.5
93427,0.5
93428,0.0
93429,0.25
93430,0.0
93432,0.0
93433,0.0
93434,0.25
93436,0.5
93437,0.75
93440,0.5
93441,0.0
93442,0.25
93444,0.5
93445,0.5
93446,0.0
93449,0.5
93450,0.0
93451,0.0
93452,0.0
93453,0.0
93454,0.0
93455,0.0
93458,0.0
93460,0.0
93461,0.0
93463,0.25
93465,0.75
93501,0.5
93505,0.0
93510,0.0
93512,0.25
93513,0.25
93514,0.0
93516,0.25
93517,0.0
93518,0.25
93522,0.0
93523,0.25
93526,0.25
93527,0.5
93528,1.0
93529,0.0
93530,0.0
93531,0.75
93532,0.5
93534,0.25
93535,0.5
93536,0.5
93541,0.25
93543,0.0
93544,0.0
93545,0.25
93546,0.0
93549,0.25
93550,0.25
93551,0.25
93552,0.25
93553,0.75
93554,0.25
93555,0.5
93560,0.25
93561,0.25
93562,0.5
93563,0.25
93591,0.75
93601,0.25
93602,0.0
93603,0.25
93604,0.25
93605,0.25
93606,0.75
93608,0.25
93609,0.0
93610,0.0
93611,0.0
93612,0.5
93614,0.0
93615,0.25
93616,0.0
93618,0.75
93620,0.0
93621,0.25
93622,0.0
93623,0.0
93624,0.5
93625,0.25
93626,0.25
93627,0.25
93628,0.5
93630,0.25
93631,0.25
93634,0.0
93635,0.0
93637,0.25
93638,0.5
93640,0.25
93641,0.25
93643,0.25
93644,0.25
93645,0.0
93646,0.0
93647,0.5
93648,0.25
93650,0.25
93651,0.25
93652,0.0
93653,0.0
93654,0.0
93656,0.25
93657,0.25
93660,0.25
93662,0.5
93664,0.5
93665,0.75
93666,0.0
93667,0.25
93668,0.5
93669,0.0
93673,0.25
93675,0.5
93701,0.0
93702,0.75
93703,0.25
93704,0.0
93705,0.25
93706,0.5
93710,0.0
93711,1.0
93720,0.25
93721,0.25
93722,0.25
93725,0.0
93726,0.25
93727,0.0
93728,0.0
93901,0.5
93905,0.0
93906,0.25
93907,0.0
93908,0.25
93920,0.25
93921,0.25
93923,0.25
93924,0.25
93925,0.25
93926,0.0
93927,0.25
93928,0.5
93930,0.25
93932,0.5
93933,0.75
93940,0.0
93950,0.25
93953,0.25
93954,0.5
93955,0.5
93960,0.0
93962,0.0
94002,0.25
94005,0.25
94010,0.5
94014,1.0
94015,0.25
94019,0.25
94020,0.0
94021,0.5
94022,0.0
94024,0.25
94025,0.0
94027,0.5
94028,0.25
94030,0.25
94037,0.0
94038,0.0
94040,0.5
94041,0.0
94043,0.5
94044,0.0
94060,0.25
94061,0.25
94062,0.25
94063,0.25
94065,0.0
94066,0.25
94070,0.0
94074,0.0
94080,0.5
94086,0.25
94087,0.0
94089,0.25
94102,0.25
94103,0.0
94104,0.5
94105,0.5
94107,0.25
94108,0.5
94109,0.25
94110,0.25
94111,0.0
94112,0.25
94114,0.75
94115,0.25
94116,0.0
94117,0.5
94118,0.0
94121,0.25
94122,0.5
94123,0.5
94124,0.0
94127,0.5
94129,0.25
94130,0.75
94131,0.25
94132,0.5
94133,0.0
94134,0.0
94301,0.0
94303,0.25
94304,0.5
94305,0.0
94306,0.25
94401,0.25
94402,0.75
94403,0.25
94404,0.0
94501,0.0
94502,0.0
94506,0.0
94507,0.0
94508,0.25
94509,0.5
94510,0.0
94511,0.0
94512,0.25
94513,0.0
94514,0.75
94515,0.25
94517,0.25
94518,0.0
94519,0.25
94520,0.75
94521,0.5
94523,0.25
94525,0.5
94526,0.25
94530,0.0
94533,0.5
94535,0.5
94536,0.0
94538,0.5
94539,0.75
94541,0.25
94542,0.25
94544,0.25
94545,0.5
94546,0.25
94547,0.0
94549,0.25
94550,0.25
94552,0.0
94553,0.5
94555,0.5
94556,0.5
94558,0.5
94559,0.25
94560,0.0
94561,0.25
94563,0.25
94564,0.5
94565,0.25
94566,0.25
94567,0.75
94568,0.5
94569,0.5
94571,0.25
94572,0.5
94574,0.5
94576,0.5
94577,0.0
94578,0.0
94579,0.25
94580,0.25
94583,0.25
94585,0.0
94586,0.25
94587,0.5
94588,0.5
94589,0.25
94590,0.5
94591,0.0
94592,0.0
94595,0.25
94596,0.5
94598,0.25
94599,0.0
94601,0.75
94602,0.5
94603,0.25
94605,0.0
94606,0.25
94607,0.25
94608,0.5
94609,0.25
94610,0.0
94611,0.5
94612,0.0
94618,0.25
94619,0.25
94621,0.0
94702,0.0
94703,0.5
94704,0.5
94705,0.25
94706,0.5
94707,0.25
94708,0.25
94709,0.25
94710,0.25
94801,0.25
94803,0.25
94804,0.25
94805,0.5
94806,0.25
94901,0.5
94903,0.5
94904,0.25
94920,0.0
94922,0.0
94923,0.25
94924,0.25
94925,0.25
94928,0.25
94929,0.0
94930,0.0
94931,0.5
94933,0.25
94937,0.25
94938,0.0
94939,0.5
94940,0.5
94941,0.25
94945,0.75
94946,0.25
94947,0.25
94949,0.5
94950,0.25
94951,0.0
94952,0.0
94954,0.0
94956,0.25
94960,0.5
94963,0.0
94964,0.0
94965,0.75
94970,0.25
94971,0.25
94972,0.25
94973,0.25
95002,0.25
95003,0.25
95004,0.25
95005,0.25
95006,1.0
95007,0.0
95008,0.25
95010,0.25
95012,0.0
95014,0.5
95017,0.5
95018,0.25
95019,0.25
95020,0.25
95023,0.25
95030,0.5
95032,0.5
95033,0.0
95035,0.25
95037,0.5
95039,0.25
95041,0.0
95043,0.0
95045,0.25
95046,0.25
95050,0.5
95051,0.0
95054,0.25
95060,0.5
95062,0.25
95064,0.0
95065,0.25
95066,0.0
95070,0.0
95073,0.0
95076,0.25
95110,0.5
95111,0.25
95112,0.25
95113,0.25
95116,0.5
95117,0.25
95118,0.0
95119,0.0
95120,0.25
95121,0.5
95122,0.0
95123,0.25
95124,0.0
95125,0.25
95126,0.25
95127,0.75
95128,0.25
95129,0.5
95130,0.25
95131,0.25
95132,0.25
95133,0.0
95134,0.25
95135,0.75
95136,0.25
95138,0.0
95139,0.25
95140,0.0
95148,0.0
95202,0.5
95203,0.0
95204,0.25
95205,0.0
95206,0.25
95207,0.25
95209,0.75
95210,0.25
95212,0.5
95215,0.0
95219,0.25
95220,0.75
95222,0.5
95223,0.25
95224,0.25
95225,0.0
95226,0.25
95227,0.25
95228,0.0
95230,0.0
95231,0.25
95232,0.5
95233,0.5
95236,0.25
95237,0.25
95240,0.5
95242,0.25
95245,0.0
95246,0.25
95247,0.25
95249,0.0
95250,0.5
95251,0.5
95252,0.25
95254,0.25
95255,0.25
95257,0.0
95258,0.25
95301,0.5
95303,0.25
95305,0.5
95306,0.25
95307,0.0
95310,0.5
95311,0.0
95312,0.0
95313,0.25
95315,0.75
95316,0.25
95317,0.0
95318,0.0
95320,0.0
95321,0.25
95322,0.25
95323,0.5
95324,0.0
95325,0.0
95326,0.5
95327,0.25
95328,0.0
95329,0.25
95330,0.5
95333,0.0
95334,0.25
95335,0.25
95336,0.0
95337,0.0
95338,0.5
95340,0.0
95345,0.0
95346,0.25
95348,0.5
95350,0.75
95351,0.25
95354,0.25
95355,0.5
95356,0.5
95357,0.25
95358,0.5
95360,0.25
95361,0.5
95363,0.25
95364,0.5
95365,0.5
95366,0.0
95367,1.0
95368,0.25
95369,0.5
95370,0.0
95372,0.5
95374,0.25
95376,0.0
95379,0.25
95380,0.25
95382,0.5
95383,0.0
95385,0.5
95386,0.5
95387,0.5
95388,0.25
95389,0.5
95401,0.5
95403,0.25
95404,0.5
95405,0.5
95407,0.5
95409,0.5
95410,0.0
95412,0.25
95415,0.0
95417,0.5
95420,0.5
95421,0.0
95422,0.5
95423,0.5
95425,0.25
95426,0.25
95427,0.75
95428,0.25
95429,0.0
95430,0.0
95431,1.0
95432,0.25
95436,0.0
95437,0.0
95439,0.5
95441,0.0
95442,0.25
95443,0.0
95444,0.25
95445,0.25
95446,0.25
95448,0.25
95449,0.25
95450,0.25
95451,0.0
95452,0.0
95453,0.25
95454,0.25
95456,0.0
95457,0.0
95458,0.25
95459,0.0
95460,0.5
95461,0.0
95462,0.0
95463,0.25
95464,0.5
95465,0.0
95466,0.25
95468,0.25
95469,0.0
95470,0.25
95471,0.25
95472,0.0
95476,0.25
95482,0.25
95485,0.0
95488,0.25
95490,0.0
95492,0.0
95493,0.25
95494,0.25
95497,0.5
95501,0.25
95503,0.25
95511,0.25
95514,0.0
95519,0.5
95521,0.0
95524,0.5
95525,0.5
95526,0.75
95527,0.25
95528,0.0
95531,0.5
95536,0.25
95537,0.25
95540,0.0
95542,0.25
95543,0.25
95545,0.25
95546,0.25
95547,0.5
95548,0.25
95549,0.0
95550,0.25
95551,0.25
95552,0.0
95553,0.75
95554,0.25
95555,0.0
95556,0.0
95558,0.25
95559,0.0
95560,0.25
95562,0.75
95563,0.25
95564,0.25
95565,0.0
95567,1.0
95568,0.25
95569,0.0
95570,0.5
95571,0.0
95573,0.0
95585,0.0
95587,0.25
95589,0.5
95595,0.25
95601,0.75
95602,0.5
95603,0.0
95605,0.25
95606,0.25
95607,0.0
95608,0.5
95610,0.25
95612,0.5
95614,0.25
95615,0.0
95616,0.5
95618,0.5
95619,0.5
95620,0.25
95621,0.0
95623,0.25
95624,0.5
95625,0.5
95626,0.5
95627,0.0
95628,0.5
95629,0.0
95630,0.5
95631,0.0
95632,0.25
95633,0.5
95634,0.0
95635,0.5
95636,0.75
95637,0.5
95638,0.25
95639,0.25
95640,0.0
95641,0.25
95642,0.75
95645,0.25
95646,0.25
95648,0.0
95650,0.25
95651,0.5
95653,0.25
95655,0.5
95658,0.25
95659,0.25
95660,0.0
95661,0.25
95662,0.75
95663,0.25
95664,0.25
95665,0.25
95666,0.25
95667,0.0
95668,0.5
95669,0.5
95670,0.25
95672,0.25
95673,0.25
95674,0.25
95675,0.0
95677,0.0
95678,0.5
95681,0.25
95682,0.0
95683,0.5
95684,0.0
95685,0.25
95686,0.5
95687,0.0
95688,0.25
95689,0.0
95690,0.5
95691,0.0
95692,0.75
95693,0.25
95694,0.5
95695,0.25
95701,0.0
95703,0.25
95709,0.25
95713,0.25
95714,0.5
95715,0.25
95717,0.0
95720,0.25
95721,0.25
95722,0.5
95726,0.25
95728,0.5
95735,0.0
95736,0.25
95742,0.5
95746,0.25
95747,0.0
95758,0.5
95762,0.0
95765,0.0
95776,0.5
95814,0.25
95815,0.5
95816,0.0
95817,0.25
95818,0.25
95819,0.25
95820,0.25
95821,0.25
95822,0.0
95823,0.25
95824,0.25
95825,0.25
95826,0.25
95827,0.25
95828,0.5
95829,0.25
95830,0.0
95831,0.5
95832,0.0
95833,0.0
95834,0.0
95835,0.5
95837,0.25
95838,0.75
95841,0.0
95842,0.25
95843,0.5
95864,0.25
95901,0.0
95903,0.25
95910,0.0
95912,0.25
95914,0.5
95916,0.0
95917,0.0
95918,0.25
95919,0.25
95920,0.25
95922,0.25
95923,0.5
95925,0.5
95926,0.25
95928,0.5
95930,0.25
95932,0.25
95934,0.25
95935,0.5
95936,0.25
95937,0.5
95938,0.0
95939,0.25
95941,0.25
95942,0.25
95943,0.0
95944,0.0
95945,0.0
95946,0.0
95947,0.0
95948,0.25
95949,0.5
95950,0.75
95951,0.25
95953,0.25
95954,0.25
95955,0.25
95956,0.25
95957,0.0
95959,0.25
95960,0.0
95961,0.25
95962,0.0
95963,0.25
95965,0.0
95966,0.5
95968,0.25
95969,0.0
95970,0.5
95971,0.75
95973,0.0
95974,0.0
95975,0.5
95977,0.0
95978,0.0
95979,0.0
95981,0.5
95982,0.25
95983,0.25
95984,1.0
95986,0.0
95987,0.5
95988,0.25
95991,0.0
95993,0.5
96001,0.25
96002,0.25
96003,0.0
96006,0.5
96007,0.5
96008,0.25
96009,0.25
96010,0.0
96011,0.5
96013,0.5
96014,0.25
96015,0.25
96016,0.25
96017,0.5
96019,0.25
96020,0.0
96021,0.25
96022,0.25
96023,0.25
96024,0.5
96025,0.25
96027,0.25
96028,0.25
96029,0.25
96031,0.0
96032,1.0
96033,0.0
96034,0.0
96035,0.0
96037,0.25
96038,0.0
96039,0.5
96040,0.5
96041,0.75
96044,0.25
96046,0.0
96047,0.25
96048,0.0
96050,0.5
96051,0.25
96052,0.75
96054,0.0
96055,0.25
96056,0.25
96057,0.0
96058,0.0
96059,0.0
96061,0.25
96062,0.0
96063,0.5
96064,0.75
96065,0.0
96067,0.0
96068,0.25
96069,0.5
96071,0.75
96073,0.5
96074,0.75
96075,0.25
96076,0.25
96080,0.5
96084,0.25
96085,0.0
96086,0.5
96087,0.25
96088,0.25
96090,0.0
96091,0.5
96092,0.5
96093,0.5
96094,0.0
96096,0.25
96097,0.0
96101,0.25
96103,0.25
96104,0.0
96105,0.0
96106,0.0
96107,0.0
96108,0.25
96109,0.25
96110,0.5
96112,0.5
96113,0.0
96114,0.0
96115,0.75
96116,0.25
96117,0.0
96118,0.0
96119,0.0
96120,0.0
96121,0.0
96122,0.25
96123,0.25
96124,0.0
96125,0.75
96126,0.5
96128,0.0
96130,0.5
96132,0.25
96133,0.25
96134,0.0
96136,0.25
96137,0.5
96140,0.5
96141,0.5
96142,0.5
96143,0.25
96145,0.25
96146,0.0
96148,0.5
96150,1.0
96161,1.0
